title,soldprice,solddate,link
"💫 Dell Precision M6800 💫 i7 - 17.3"" FHD 16GB RAM, FirePro M6000, 256GB SSD 1TB",549.5,25 May 2022,https://www.ebay.co.uk/itm/265707674028?hash=item3ddd6959ac%3Ag%3As2oAAOSw5dRijhco&LH_BIN=1&LH_ItemCondition=3000
"Dell M6000 17.3"" Touch Intel i7 2820QM 2.30 GHz 16Gb Ram 128Gb SSD 750Gb HDD Win",207.91,15 Jun 2022,https://www.ebay.co.uk/itm/203990160869?hash=item2f7ec2d5e5%3Ag%3AAcIAAOSwFGZipRna&LH_BIN=1&LH_ItemCondition=3000
Dell Precision T3600 Workstation - Intel Xeon E5-1650 @3.20GHz 20GB RAM 4TB HDD,72.0,27 Jun 2022,https://www.ebay.co.uk/itm/265729417546?hash=item3ddeb5214a%3Ag%3AslYAAOSwgFdiob-P&LH_BIN=1&LH_ItemCondition=3000
"Dell Precision 5530 15.6"" - Intel Core i7 8850H, 32GB RAM, 512GB SSD, Nvidia",599.0,13 Jul 2022,https://www.ebay.co.uk/itm/275373238468?hash=item401d8628c4%3Ag%3AOQQAAOSwihdiwqxL&LH_BIN=1&LH_ItemCondition=3000
"Dell Precision 5550 laptop  i7,  64Gb RAM 1Tb SSD Windows 11 pro  (4)",800.0,4 Jul 2022,https://www.ebay.co.uk/itm/284882226252?hash=item42544dcc4c%3Ag%3AR0UAAOSwr4hiwaf1&LH_BIN=1&LH_ItemCondition=3000
"DELL Precision 7750 Xeon 8 core 128GB ram, 1TB SSD, RTX5000 16gb , 17.3"" FHD 14",1600.0,24 Jun 2022,https://www.ebay.co.uk/itm/284860081603?hash=item4252fbe5c3%3Ag%3A-QQAAOSw7lRirL19&LH_BIN=1&LH_ItemCondition=3000
Dell Precision 5560 laptop  i7-11850H 64Gb RAM 1Tb SSD Windows 11 pro 10 (3),1000.0,4 Jul 2022,https://www.ebay.co.uk/itm/284879460652?hash=item425423992c%3Ag%3AYXoAAOSwj3NirMf7&LH_BIN=1&LH_ItemCondition=3000
Dell Precision 5560 laptop  i7-11850H 64Gb RAM 1Tb SSD Windows 11 pro  15 (6),1000.0,4 Jul 2022,https://www.ebay.co.uk/itm/284879468434?hash=item425423b792%3Ag%3A%7EJoAAOSwwEVirMPU&LH_BIN=1&LH_ItemCondition=3000
Dell Precision 5560 laptop  i7-11850H 64Gb RAM 1Tb SSD Windows 11 pro  (7),1000.0,1 Jul 2022,https://www.ebay.co.uk/itm/284879469873?hash=item425423bd31%3Ag%3AKzoAAOSwdQlirMdh&LH_BIN=1&LH_ItemCondition=3000
Dell Precision M6800 Laptop core i7 32GB RAM 500GB SSD + 500GB HDD inc UK P+P,359.99,20 May 2022,https://www.ebay.co.uk/itm/185426354438?hash=item2b2c45a106%3Ag%3Aw5wAAOSwbK5igV%7Ew&LH_BIN=1&LH_ItemCondition=3000
Dell Precision 15 5550 Xeon W-10855M 32Gb Ram 512Gb Nvme FHD+ T2000 Max-Q 4Gb,799.0,10 May 2022,https://www.ebay.co.uk/itm/284804390304?hash=item424faa1da0%3Ag%3AV38AAOSwbG5idtiM&LH_BIN=1&LH_ItemCondition=3000
Dell Precision 5560 laptop  i7-11850H 64Gb RAM 1Tb SSD Windows 11,1100.0,12 Jun 2022,https://www.ebay.co.uk/itm/165524959499?hash=item268a0e710b%3Ag%3AERgAAOSwpE1ih%7EE4&LH_BIN=1&LH_ItemCondition=3000
"DELL Precision 7750 Xeon 8 Core 128GB ram 1TB SSD, RTX5000 16gb , 17.3"" FHD (13)",1500.0,2 Jul 2022,https://www.ebay.co.uk/itm/284879452825?hash=item4254237a99%3Ag%3A-QQAAOSw7lRirL19&LH_BIN=1&LH_ItemCondition=3000
Dell Laptop - PRECISION M4800 i7-4800MQ 4th Gen 16GB RAM 256GB SSD,192.0,14 Jul 2022,https://www.ebay.co.uk/itm/334493742268?hash=item4de16174bc%3Ag%3A4SMAAOSwcR9iw10X&LH_BIN=1&LH_ItemCondition=3000
"DELL Precision 7760 Xeon 8 core 128GB ram, 1TB SSD, RTXA5000 16gb , 17.3"" FHD 3",2100.0,30 Jun 2022,https://www.ebay.co.uk/itm/284860012890?hash=item4252fad95a%3Ag%3AItkAAOSwPd1irK%7Et&LH_BIN=1&LH_ItemCondition=3000
